Time,Temperature,Dew_Point,Humidity,Wind,Wind_Speed,Wind_Gust,Pressure,Precipitation,Condition,Date
0:52,16,2,54,N,8,0,30.42,0,Fair,1/1/2018
1:52,16,3,57,NW,8,0,30.43,0,Fair,1/1/2018
2:52,16,3,57,NW,10,0,30.44,0,Fair,1/1/2018
3:52,14,3,62,NW,6,0,30.43,0,Fair,1/1/2018
4:52,14,3,62,NNW,10,0,30.45,0,Fair,1/1/2018
5:52,13,3,65,NNW,7,0,30.46,0,Fair,1/1/2018
6:52,15,3,59,NNW,7,0,30.48,0,Fair,1/1/2018
7:52,15,3,59,W,7,0,30.49,0,Fair,1/1/2018
8:52,18,4,54,WNW,9,0,30.5,0,Fair,1/1/2018
9:52,20,3,48,NW,12,0,30.52,0,Fair,1/1/2018
10:52,22,2,42,NW,13,0,30.52,0,Partly Cloudy,1/1/2018
11:52,23,2,40,NW,14,24,30.49,0,Mostly Cloudy,1/1/2018
12:52,24,1,37,NW,14,0,30.47,0,Mostly Cloudy,1/1/2018
13:52,23,1,39,NNW,13,0,30.45,0,Mostly Cloudy,1/1/2018
14:52,23,1,39,NNW,15,20,30.44,0,Mostly Cloudy,1/1/2018
15:52,23,-1,35,NW,15,23,30.44,0,Partly Cloudy,1/1/2018
16:52,22,0,38,NW,10,0,30.44,0,Fair,1/1/2018
17:52,22,0,38,WNW,10,0,30.45,0,Fair,1/1/2018
18:52,21,-1,38,NW,16,0,30.46,0,Fair,1/1/2018
19:52,20,-3,37,WNW,20,26,30.48,0,Fair,1/1/2018
20:52,18,-2,41,NW,17,25,30.5,0,Partly Cloudy,1/1/2018
21:52,17,0,47,NNW,20,24,30.53,0,Partly Cloudy,1/1/2018
22:52,16,-3,43,NW,14,22,30.54,0,Fair,1/1/2018
23:52,15,-4,43,NW,6,0,30.54,0,Fair,1/1/2018
0:52,14,-3,47,WNW,7,0,30.54,0,Fair,1/2/2018
1:52,14,-3,47,NW,7,0,30.54,0,Partly Cloudy,1/2/2018
2:52,14,-3,47,NW,7,0,30.55,0,Fair,1/2/2018
3:52,14,-3,47,NW,9,0,30.56,0,Fair,1/2/2018
4:52,14,-2,49,W,8,0,30.56,0,Fair,1/2/2018
5:52,13,-2,51,W,6,0,30.58,0,Fair,1/2/2018
6:52,13,-2,51,NW,8,17,30.59,0,Fair,1/2/2018
7:52,13,-2,51,NW,12,0,30.59,0,Fair,1/2/2018
8:52,15,-2,47,WNW,12,0,30.61,0,Fair,1/2/2018
9:52,17,-2,43,WNW,13,20,30.62,0,Fair,1/2/2018
10:52,19,-2,40,WNW,14,0,30.61,0,Fair,1/2/2018
11:52,21,-2,36,VAR,7,0,30.57,0,Fair,1/2/2018
12:52,22,-2,35,SW,7,0,30.52,0,Fair,1/2/2018
13:52,25,-2,31,WNW,12,0,30.49,0,Fair,1/2/2018
14:52,26,-2,30,WSW,9,0,30.46,0,Fair,1/2/2018
15:52,26,-2,30,W,8,0,30.45,0,Fair,1/2/2018
16:52,25,-1,33,W,8,0,30.43,0,Fair,1/2/2018
17:52,24,0,35,WSW,5,0,30.43,0,Fair,1/2/2018
18:52,22,2,42,SSW,8,0,30.43,0,Fair,1/2/2018
19:52,21,2,44,SW,6,0,30.43,0,Fair,1/2/2018
20:52,21,5,50,SSW,6,0,30.43,0,Fair,1/2/2018
21:52,21,6,53,SW,3,0,30.42,0,Fair,1/2/2018
22:52,20,6,55,SSW,5,0,30.41,0,Fair,1/2/2018
23:52,21,5,50,SW,3,0,30.4,0,Fair,1/2/2018
0:52,19,7,59,CALM,0,0,30.38,0,Fair,1/3/2018
1:52,20,9,62,CALM,0,0,30.37,0,Fair,1/3/2018
2:52,17,8,68,SW,3,0,30.37,0,Fair,1/3/2018
3:52,16,9,74,CALM,0,0,30.36,0,Fair,1/3/2018
4:52,14,6,71,N,3,0,30.33,0,Fair,1/3/2018
5:52,15,8,74,CALM,0,0,30.33,0,Fair,1/3/2018
6:52,15,10,80,CALM,0,0,30.33,0,Fair,1/3/2018
7:52,18,13,81,CALM,0,0,30.33,0,Partly Cloudy,1/3/2018
8:52,20,12,71,NE,3,0,30.33,0,Mostly Cloudy,1/3/2018
9:52,22,13,68,SSE,3,0,30.32,0,Mostly Cloudy,1/3/2018
10:52,25,8,49,S,5,0,30.3,0,Cloudy,1/3/2018
11:52,28,8,43,CALM,0,0,30.25,0,Cloudy,1/3/2018
12:52,32,7,35,VAR,3,0,30.19,0,Cloudy,1/3/2018
13:52,32,7,35,VAR,3,0,30.16,0,Cloudy,1/3/2018
14:52,35,6,30,S,8,0,30.14,0,Mostly Cloudy,1/3/2018
15:52,34,3,27,S,6,0,30.13,0,Mostly Cloudy,1/3/2018
16:52,33,2,27,CALM,0,0,30.09,0,Cloudy,1/3/2018
17:52,32,7,35,SE,8,0,30.11,0,Cloudy,1/3/2018
18:52,31,12,46,ESE,5,0,30.08,0,Cloudy,1/3/2018
19:52,31,12,46,ENE,3,0,30.06,0,Cloudy,1/3/2018
20:52,31,13,47,NNE,9,0,30.02,0,Cloudy,1/3/2018
21:52,30,14,51,NE,7,0,30.01,0,Cloudy,1/3/2018
22:52,30,18,61,E,8,0,29.98,0,Light Snow,1/3/2018
23:34,28,21,75,ENE,10,0,29.95,0,Light Snow,1/3/2018
23:45,27,22,81,ENE,9,0,29.94,0,Light Snow,1/3/2018
23:52,27,23,85,NE,9,0,29.94,0,Light Snow,1/3/2018
23:56,27,23,85,NE,10,0,29.93,0,Light Snow,1/3/2018
0:19,27,24,89,NNE,10,0,29.92,0,Light Snow,1/4/2018
0:44,27,23,85,N,13,0,29.9,0.1,Light Snow,1/4/2018
0:52,27,23,85,N,12,0,29.9,0.1,Light Snow,1/4/2018
1:37,26,23,88,N,10,0,29.86,0,Light Snow,1/4/2018
1:52,26,23,88,N,14,0,29.86,0,Light Snow,1/4/2018
2:01,26,23,88,N,12,0,29.85,0,Light Snow,1/4/2018
2:10,26,23,88,N,13,0,29.84,0,Light Snow,1/4/2018
2:52,26,21,81,N,16,0,29.83,0,Light Snow,1/4/2018
3:37,26,18,71,NNW,23,32,29.78,0,Light Snow / Windy,1/4/2018
3:52,25,19,78,NNW,24,30,29.77,0,Light Snow / Windy,1/4/2018
3:59,25,19,78,N,18,30,29.76,0,Light Snow,1/4/2018
4:52,25,20,81,NNW,18,0,29.73,0,Light Snow,1/4/2018
4:59,25,20,81,NNW,20,28,29.73,0,Light Snow,1/4/2018
5:28,24,20,84,NNW,24,32,29.71,0,Light Snow / Windy,1/4/2018
5:52,24,20,84,N,23,29,29.71,0,Light Snow / Windy,1/4/2018
6:09,24,19,81,NNW,21,29,29.7,0,Light Snow / Windy,1/4/2018
6:52,24,17,75,NNW,24,37,29.68,0,Light Snow / Windy,1/4/2018
7:01,24,17,75,NNW,23,30,29.68,0,Light Snow / Windy,1/4/2018
7:40,24,17,75,NNW,16,0,29.67,0,Light Snow,1/4/2018
7:52,24,17,75,NNW,20,29,29.67,0,Light Snow,1/4/2018
8:08,24,16,71,NNW,21,32,29.67,0,Cloudy / Windy,1/4/2018
8:52,25,14,63,NNW,26,33,29.68,0,Cloudy / Windy,1/4/2018
9:52,25,12,58,NW,23,33,29.68,0,Cloudy / Windy,1/4/2018
10:25,25,13,60,NW,24,32,29.68,0,Light Snow / Windy,1/4/2018
10:52,24,16,71,NW,18,30,29.68,0,Light Snow,1/4/2018
