Date,Hour,Demand
1/1/2017,0,77
1/1/2017,1,80
1/1/2017,2,62
1/1/2017,3,18
1/1/2017,4,5
1/1/2017,5,5
1/1/2017,6,8
1/1/2017,7,24
1/1/2017,8,53
1/1/2017,9,108
1/1/2017,10,168
1/1/2017,11,248
1/1/2017,12,375
1/1/2017,13,420
1/1/2017,14,522
1/1/2017,15,546
1/1/2017,16,390
1/1/2017,17,301
1/1/2017,18,184
1/1/2017,19,162
1/1/2017,20,110
1/1/2017,21,91
1/1/2017,22,60
1/1/2017,23,46
1/2/2017,0,45
1/2/2017,1,22
1/2/2017,2,6
1/2/2017,3,1
1/2/2017,4,2
1/2/2017,5,10
1/2/2017,6,20
1/2/2017,7,33
1/2/2017,8,41
1/2/2017,9,50
1/2/2017,10,76
1/2/2017,11,119
1/2/2017,12,103
1/2/2017,13,94
1/2/2017,14,85
1/2/2017,15,98
1/2/2017,16,143
1/2/2017,17,171
1/2/2017,18,150
1/2/2017,19,114
1/2/2017,20,95
1/2/2017,21,77
1/2/2017,22,50
1/2/2017,23,33
1/3/2017,0,13
1/3/2017,1,5
1/3/2017,2,2
1/3/2017,4,2
1/3/2017,5,47
1/3/2017,6,89
1/3/2017,7,130
1/3/2017,8,178
1/3/2017,9,57
1/3/2017,10,37
1/3/2017,11,52
1/3/2017,12,82
1/3/2017,13,125
1/3/2017,14,129
1/3/2017,15,221
1/3/2017,16,391
1/3/2017,17,766
1/3/2017,18,637
1/3/2017,19,338
1/3/2017,20,195
1/3/2017,21,142
1/3/2017,22,97
1/3/2017,23,36
1/4/2017,0,16
1/4/2017,1,8
1/4/2017,2,6
1/4/2017,3,0
1/4/2017,4,8
1/4/2017,5,66
1/4/2017,6,234
1/4/2017,7,633
1/4/2017,8,945
1/4/2017,9,423
1/4/2017,10,113
1/4/2017,11,194
1/4/2017,12,276
1/4/2017,13,299
1/4/2017,14,341
1/4/2017,15,403
1/4/2017,16,588
1/4/2017,17,963
1/4/2017,18,738
1/4/2017,19,422
1/4/2017,20,205
1/4/2017,21,167
1/4/2017,22,89
1/4/2017,23,47
1/5/2017,0,23
1/5/2017,1,9
1/5/2017,2,2
1/5/2017,3,2
1/5/2017,4,2
1/5/2017,5,61
1/5/2017,6,208
1/5/2017,7,547
1/5/2017,8,849
1/5/2017,9,416
1/5/2017,10,174
1/5/2017,11,211
1/5/2017,12,230
1/5/2017,13,260
1/5/2017,14,222
1/5/2017,15,283
1/5/2017,16,428
1/5/2017,17,777
1/5/2017,18,611
1/5/2017,19,376
1/5/2017,20,237
1/5/2017,21,136
1/5/2017,22,106
1/5/2017,23,44
1/6/2017,0,19
1/6/2017,1,5
1/6/2017,2,7
1/6/2017,3,2
1/6/2017,4,3
1/6/2017,5,50
1/6/2017,6,150
1/6/2017,7,439
1/6/2017,8,787
1/6/2017,9,406
1/6/2017,10,159
1/6/2017,11,210
1/6/2017,12,266
1/6/2017,13,249
1/6/2017,14,224
1/6/2017,15,279
1/6/2017,16,406
1/6/2017,17,721
1/6/2017,18,500
1/6/2017,19,258
1/6/2017,20,161
1/6/2017,21,119
1/6/2017,22,92
1/6/2017,23,58
1/7/2017,0,42
1/7/2017,1,39
1/7/2017,2,21
1/7/2017,3,7
1/7/2017,4,4
1/7/2017,5,5
1/7/2017,6,9
1/7/2017,7,57
1/7/2017,8,99
1/7/2017,9,135
1/7/2017,10,197
1/7/2017,11,183
1/7/2017,12,115
1/7/2017,13,90
1/7/2017,14,98
1/7/2017,15,130
1/7/2017,16,126
1/7/2017,17,111
1/7/2017,18,106
1/7/2017,19,64
1/7/2017,20,63
1/7/2017,21,35
1/7/2017,22,37
1/7/2017,23,36
1/8/2017,0,33
1/8/2017,1,19
1/8/2017,2,12
1/8/2017,3,7
1/8/2017,5,1
1/8/2017,6,8
1/8/2017,7,22
1/8/2017,8,68
1/8/2017,9,71
1/8/2017,10,144
1/8/2017,11,143
1/8/2017,12,194
1/8/2017,13,176
1/8/2017,14,149
1/8/2017,15,193
1/8/2017,16,165
1/8/2017,17,149
1/8/2017,18,102
1/8/2017,19,83
1/8/2017,20,68
1/8/2017,21,48
1/8/2017,22,48
1/8/2017,23,17
1/9/2017,0,6
1/9/2017,1,2
1/9/2017,2,4
1/9/2017,4,4
1/9/2017,5,55
1/9/2017,6,167
1/9/2017,7,396
1/9/2017,8,608
1/9/2017,9,306
1/9/2017,10,125
1/9/2017,11,127
1/9/2017,12,177
1/9/2017,13,157
1/9/2017,14,146
1/9/2017,15,171
1/9/2017,16,321
1/9/2017,17,635
1/9/2017,18,529
1/9/2017,19,310
1/9/2017,20,172
1/9/2017,21,113
1/9/2017,22,56
1/9/2017,23,30
1/10/2017,0,21
1/10/2017,1,8
1/10/2017,2,2
1/10/2017,4,1
1/10/2017,5,51
1/10/2017,6,187
1/10/2017,7,473
1/10/2017,8,774
1/10/2017,9,365
1/10/2017,10,146
1/10/2017,11,153
