Time,Temperature,Dew_Point,Humidity,Wind,Wind_Speed,Wind_Gust,Pressure,Precipitation,Condition,Date
0:33,50,48,93,S,13,0,29.79,0,Light Drizzle,1/1/2019
0:52,51,49,92,S,15,0,29.76,0,Fog,1/1/2019
0:55,51,50,96,S,16,0,29.76,0,Fog,1/1/2019
1:30,56,54,93,SSW,16,28,29.76,0,Cloudy,1/1/2019
1:52,57,54,89,SSW,16,23,29.75,0,Cloudy,1/1/2019
2:06,58,55,90,SSW,18,0,29.75,0,Cloudy,1/1/2019
2:21,59,56,90,SW,16,29,29.77,0,Light Rain,1/1/2019
2:52,61,57,87,SSW,18,28,29.73,0,Cloudy,1/1/2019
3:52,62,57,84,SSW,13,0,29.72,0,Cloudy,1/1/2019
4:52,63,57,81,SSW,14,0,29.72,0,Cloudy,1/1/2019
5:52,61,57,87,SW,7,0,29.75,0,Cloudy,1/1/2019
6:52,62,56,80,WSW,8,0,29.79,0,Mostly Cloudy,1/1/2019
7:52,62,56,80,SW,8,0,29.8,0,Mostly Cloudy,1/1/2019
8:52,61,55,81,S,12,0,29.87,0,Mostly Cloudy,1/1/2019
9:52,64,47,54,WNW,10,0,29.9,0,Mostly Cloudy,1/1/2019
10:52,63,45,52,NW,14,20,29.92,0,Cloudy,1/1/2019
11:52,61,44,54,NNW,17,23,29.94,0,Cloudy,1/1/2019
12:52,61,42,50,NW,14,0,29.95,0,Cloudy,1/1/2019
13:52,59,42,53,NW,17,26,29.99,0,Cloudy,1/1/2019
14:52,56,41,57,NNW,12,0,30.04,0,Cloudy,1/1/2019
15:52,54,39,57,NNW,17,0,30.08,0,Cloudy,1/1/2019
16:52,53,38,57,NNW,15,0,30.1,0,Mostly Cloudy,1/1/2019
17:52,52,37,57,NNW,17,0,30.13,0,Cloudy,1/1/2019
18:52,51,37,59,NNW,13,0,30.17,0,Cloudy,1/1/2019
19:52,49,36,61,NNW,12,0,30.19,0,Cloudy,1/1/2019
20:52,49,35,59,NNW,12,0,30.2,0,Cloudy,1/1/2019
21:52,48,34,58,N,7,0,30.19,0,Cloudy,1/1/2019
22:52,48,34,58,NNW,5,0,30.19,0,Cloudy,1/1/2019
23:52,45,34,65,N,8,0,30.2,0,Cloudy,1/1/2019
0:52,46,35,66,NNE,9,0,30.2,0,Cloudy,1/2/2019
1:52,45,34,65,NNE,6,0,30.22,0,Cloudy,1/2/2019
2:52,44,35,71,ENE,5,0,30.23,0,Cloudy,1/2/2019
3:52,43,34,71,SSW,3,0,30.24,0,Mostly Cloudy,1/2/2019
4:52,43,35,74,SW,3,0,30.24,0,Cloudy,1/2/2019
5:52,43,36,76,SSW,3,0,30.26,0,Cloudy,1/2/2019
6:52,44,38,79,S,3,0,30.29,0,Cloudy,1/2/2019
7:52,44,38,79,S,6,0,30.3,0,Cloudy,1/2/2019
8:52,45,39,80,CALM,0,0,30.32,0,Cloudy,1/2/2019
9:52,46,37,71,S,3,0,30.32,0,Cloudy,1/2/2019
10:52,47,35,63,S,5,0,30.3,0,Cloudy,1/2/2019
11:52,47,35,63,SSE,7,0,30.28,0,Cloudy,1/2/2019
12:52,48,35,61,SSE,6,0,30.26,0,Cloudy,1/2/2019
13:52,47,35,63,S,8,0,30.25,0,Cloudy,1/2/2019
14:52,47,36,66,S,7,0,30.21,0,Cloudy,1/2/2019
15:52,47,36,66,S,8,0,30.19,0,Cloudy,1/2/2019
16:52,47,35,63,SSE,5,0,30.17,0,Cloudy,1/2/2019
17:52,46,35,66,SSE,6,0,30.16,0,Cloudy,1/2/2019
18:52,46,34,63,SE,3,0,30.16,0,Cloudy,1/2/2019
19:52,46,34,63,SSE,7,0,30.15,0,Cloudy,1/2/2019
20:52,46,35,66,SSE,5,0,30.12,0,Cloudy,1/2/2019
21:52,46,37,71,S,7,0,30.1,0,Cloudy,1/2/2019
22:52,46,38,73,S,10,0,30.05,0,Cloudy,1/2/2019
23:52,46,39,76,S,8,0,30.01,0,Cloudy,1/2/2019
0:52,46,39,76,S,9,0,29.98,0,Cloudy,1/3/2019
1:52,46,38,73,S,7,0,29.96,0,Cloudy,1/3/2019
2:52,46,38,73,SSW,5,0,29.94,0,Cloudy,1/3/2019
3:52,46,38,73,SW,6,0,29.93,0,Cloudy,1/3/2019
4:52,46,39,76,S,3,0,29.9,0,Cloudy,1/3/2019
5:52,47,39,74,CALM,0,0,29.91,0,Cloudy,1/3/2019
6:52,47,39,74,SSW,5,0,29.93,0,Cloudy,1/3/2019
7:52,47,39,74,SW,5,0,29.96,0,Cloudy,1/3/2019
8:52,48,39,71,CALM,0,0,29.98,0,Cloudy,1/3/2019
9:52,49,39,69,N,6,0,30,0,Cloudy,1/3/2019
10:52,50,37,61,NNW,16,0,30,0,Cloudy,1/3/2019
11:52,50,32,50,NW,14,0,29.99,0,Cloudy,1/3/2019
12:52,51,32,48,NNW,17,0,29.99,0,Mostly Cloudy,1/3/2019
13:52,50,31,48,NNW,18,23,29.98,0,Mostly Cloudy,1/3/2019
14:52,50,30,46,NNW,15,0,29.99,0,Mostly Cloudy,1/3/2019
15:52,49,30,48,NNW,9,0,29.99,0,Mostly Cloudy,1/3/2019
16:52,46,29,51,N,6,0,30,0,Mostly Cloudy,1/3/2019
17:52,45,30,56,NNE,6,0,30.03,0,Mostly Cloudy,1/3/2019
18:52,46,31,56,CALM,0,0,30.04,0,Mostly Cloudy,1/3/2019
19:52,45,31,58,N,3,0,30.06,0,Mostly Cloudy,1/3/2019
20:52,43,31,62,CALM,0,0,30.08,0,Partly Cloudy,1/3/2019
21:52,43,31,62,E,3,0,30.07,0,Mostly Cloudy,1/3/2019
22:52,42,32,67,NE,3,0,30.07,0,Mostly Cloudy,1/3/2019
23:52,41,33,73,SSE,3,0,30.06,0,Mostly Cloudy,1/3/2019
0:52,39,32,76,SW,3,0,30.06,0,Mostly Cloudy,1/4/2019
1:52,38,31,76,WSW,3,0,30.06,0,Cloudy,1/4/2019
2:52,37,31,79,SW,6,0,30.05,0,Cloudy,1/4/2019
3:52,37,30,76,SW,5,0,30.05,0,Cloudy,1/4/2019
4:52,39,32,76,SSW,3,0,30.04,0,Cloudy,1/4/2019
5:52,38,32,79,SSW,3,0,30.05,0,Cloudy,1/4/2019
6:52,39,33,79,CALM,0,0,30.03,0,Cloudy,1/4/2019
7:52,38,33,83,SSW,3,0,30.04,0,Cloudy,1/4/2019
8:52,40,34,79,SSW,3,0,30.05,0,Cloudy,1/4/2019
9:52,42,37,82,S,3,0,30.06,0,Cloudy,1/4/2019
10:52,43,37,80,S,5,0,30.01,0,Cloudy,1/4/2019
11:52,45,38,76,S,7,0,29.98,0,Cloudy,1/4/2019
12:42,46,39,76,S,7,0,29.96,0,Cloudy,1/4/2019
12:52,46,39,76,S,6,0,29.95,0,Cloudy,1/4/2019
13:45,48,38,68,S,5,0,29.92,0,Cloudy,1/4/2019
13:52,48,38,68,S,5,0,29.92,0,Cloudy,1/4/2019
14:52,48,40,74,S,7,0,29.89,0,Cloudy,1/4/2019
15:05,49,40,71,S,8,0,29.89,0,Cloudy,1/4/2019
15:52,49,41,74,S,7,0,29.89,0,Cloudy,1/4/2019
16:02,49,41,74,S,6,0,29.89,0,Cloudy,1/4/2019
16:52,49,41,74,S,3,0,29.87,0,Cloudy,1/4/2019
17:28,49,41,74,SSE,6,0,29.85,0,Cloudy,1/4/2019
17:47,48,43,82,S,8,0,29.85,0,Cloudy,1/4/2019
17:52,49,42,77,S,6,0,29.85,0,Cloudy,1/4/2019
18:24,49,42,77,ESE,8,0,29.82,0,Cloudy,1/4/2019
18:52,49,42,77,SE,8,0,29.81,0,Cloudy,1/4/2019
19:52,48,42,80,SE,7,0,29.78,0,Light Rain,1/4/2019
20:52,47,44,90,ENE,3,0,29.76,0,Light Rain,1/4/2019
21:52,47,44,90,NE,7,0,29.71,0,Light Drizzle,1/4/2019
22:14,47,44,90,NE,7,0,29.7,0,Light Drizzle,1/4/2019
22:22,46,43,89,NE,8,0,29.69,0,Light Drizzle,1/4/2019
22:24,46,43,89,NE,7,0,29.69,0,Cloudy,1/4/2019
22:34,47,43,86,NE,7,0,29.69,0,Cloudy,1/4/2019
22:38,46,43,89,NE,8,0,29.69,0,Cloudy,1/4/2019
22:49,46,43,87,NE,9,0,29.68,0,Light Drizzle,1/4/2019
22:52,46,43,89,NE,9,0,29.68,0,Light Drizzle,1/4/2019
23:52,46,43,89,ENE,8,0,29.64,0,Light Drizzle,1/4/2019
0:52,46,43,89,NE,9,0,29.58,0,Cloudy,1/5/2019
1:52,46,44,93,NE,7,0,29.56,0,Cloudy,1/5/2019
2:28,46,44,93,NE,6,0,29.54,0,Cloudy,1/5/2019
2:52,47,44,90,N,7,0,29.53,0,Cloudy,1/5/2019
3:23,47,44,90,NW,6,0,29.55,0,Light Rain,1/5/2019
3:42,47,44,90,N,6,0,29.52,0,Fog,1/5/2019
3:44,47,44,90,N,6,0,29.52,0,Cloudy,1/5/2019
3:52,47,44,90,NNE,6,0,29.51,0,Cloudy,1/5/2019
4:52,46,44,93,ENE,7,0,29.48,0,Cloudy,1/5/2019
5:16,47,44,90,NE,3,0,29.47,0,Cloudy,1/5/2019
5:49,46,45,93,N,3,0,29.46,0,Cloudy,1/5/2019
5:52,47,44,90,NNE,3,0,29.46,0,Cloudy,1/5/2019
6:52,47,44,90,NNW,7,0,29.46,0,Light Drizzle,1/5/2019
7:22,47,44,90,N,7,0,29.46,0,Light Drizzle,1/5/2019
7:30,47,44,90,N,6,0,29.46,0,Light Drizzle,1/5/2019
7:52,47,44,90,NW,6,0,29.48,0,Light Drizzle,1/5/2019
8:46,46,45,93,NW,9,0,29.5,0,Cloudy,1/5/2019
8:52,47,43,86,NNW,7,0,29.51,0,Cloudy,1/5/2019
9:47,46,43,87,NW,8,0,29.52,0,Cloudy,1/5/2019
9:52,47,43,86,NW,10,0,29.53,0,Cloudy,1/5/2019
10:52,47,43,86,W,9,0,29.54,0,Cloudy,1/5/2019
11:09,48,43,83,WNW,7,0,29.54,0,Cloudy,1/5/2019
11:44,49,42,77,WNW,8,0,29.54,0,Cloudy,1/5/2019
11:52,49,43,80,WNW,13,18,29.54,0,Cloudy,1/5/2019
12:18,50,42,74,WNW,14,24,29.54,0,Mostly Cloudy,1/5/2019
12:52,52,42,69,WNW,14,0,29.55,0,Cloudy,1/5/2019
13:52,51,42,71,WNW,14,29,29.57,0,Cloudy,1/5/2019
14:15,50,42,74,WNW,15,26,29.58,0,Light Rain,1/5/2019
14:30,50,43,77,NW,14,25,29.59,0,Light Rain,1/5/2019
14:37,51,43,74,NW,17,26,29.59,0,Cloudy,1/5/2019
14:52,51,42,71,NW,18,28,29.6,0,Mostly Cloudy,1/5/2019
15:52,54,41,62,NW,10,0,29.64,0,Partly Cloudy,1/5/2019
16:52,54,39,57,NW,15,23,29.68,0,Fair,1/5/2019
17:52,53,39,59,W,6,0,29.72,0,Fair,1/5/2019
18:52,53,37,55,W,9,0,29.76,0,Fair,1/5/2019
19:52,52,36,54,WNW,9,0,29.79,0,Fair,1/5/2019
20:52,51,36,56,WNW,10,0,29.81,0,Fair,1/5/2019
21:52,51,35,54,W,8,0,29.83,0,Fair,1/5/2019
22:52,52,35,53,WNW,12,22,29.84,0,Fair,1/5/2019
23:52,50,34,54,W,6,0,29.84,0,Fair,1/5/2019
0:52,49,34,56,W,5,0,29.86,0,Fair,1/6/2019
1:52,47,36,66,SSW,5,0,29.88,0,Fair,1/6/2019
2:52,43,37,80,S,3,0,29.89,0,Fair,1/6/2019
3:52,44,36,73,SSW,3,0,29.89,0,Partly Cloudy,1/6/2019
4:52,43,37,80,S,5,0,29.91,0,Fair,1/6/2019
5:52,40,35,83,SW,5,0,29.91,0,Mostly Cloudy,1/6/2019
6:52,41,36,82,SW,3,0,29.94,0,Partly Cloudy,1/6/2019
7:52,41,35,79,CALM,0,0,29.98,0,Partly Cloudy,1/6/2019
8:52,51,35,54,W,14,0,30,0,Partly Cloudy,1/6/2019
9:52,53,36,52,W,13,0,30.03,0,Partly Cloudy,1/6/2019
10:52,55,37,51,WNW,14,0,30.04,0,Mostly Cloudy,1/6/2019
11:52,55,35,47,NW,17,28,30.05,0,Mostly Cloudy,1/6/2019
12:52,56,33,42,NNW,18,25,30.05,0,Mostly Cloudy,1/6/2019
13:52,56,32,40,NW,18,24,30.06,0,Partly Cloudy,1/6/2019
14:52,56,30,37,NNW,20,29,30.08,0,Partly Cloudy,1/6/2019
15:52,55,28,35,NW,21,26,30.1,0,Partly Cloudy / Windy,1/6/2019
16:52,51,29,43,NNW,14,0,30.14,0,Partly Cloudy,1/6/2019
17:52,49,25,39,NNW,13,0,30.18,0,Partly Cloudy,1/6/2019
18:52,48,25,41,NNW,12,0,30.21,0,Partly Cloudy,1/6/2019
19:52,46,26,46,NNW,9,0,30.25,0,Partly Cloudy,1/6/2019
20:52,44,25,47,NNW,9,0,30.27,0,Fair,1/6/2019
21:52,45,24,44,NNW,7,0,30.3,0,Mostly Cloudy,1/6/2019
22:52,42,25,51,NNW,9,0,30.32,0,Mostly Cloudy,1/6/2019
23:52,41,25,53,NNW,10,0,30.33,0,Mostly Cloudy,1/6/2019
0:52,40,24,53,N,12,0,30.34,0,Mostly Cloudy,1/7/2019
1:52,39,23,53,N,12,0,30.37,0,Mostly Cloudy,1/7/2019
2:52,36,23,59,NNW,7,0,30.39,0,Mostly Cloudy,1/7/2019
3:52,36,23,59,NNW,8,0,30.39,0,Cloudy,1/7/2019
4:52,38,23,55,NNE,12,0,30.4,0,Cloudy,1/7/2019
5:52,37,23,57,NE,12,0,30.43,0,Cloudy,1/7/2019
6:52,37,23,57,NNE,9,0,30.46,0,Mostly Cloudy,1/7/2019
7:52,36,20,52,NE,14,0,30.48,0,Mostly Cloudy,1/7/2019
8:52,36,20,52,E,8,0,30.5,0,Cloudy,1/7/2019
9:52,38,20,48,NE,9,0,30.5,0,Cloudy,1/7/2019
10:52,38,22,53,ENE,8,0,30.48,0,Cloudy,1/7/2019
11:52,38,21,51,ESE,6,0,30.44,0,Cloudy,1/7/2019
12:52,39,22,50,ESE,6,0,30.42,0,Cloudy,1/7/2019
13:52,39,22,50,ESE,6,0,30.41,0,Cloudy,1/7/2019
14:52,39,22,50,SE,9,0,30.39,0,Cloudy,1/7/2019
15:52,38,19,47,SE,8,0,30.4,0,Cloudy,1/7/2019
16:52,38,20,48,ESE,12,0,30.37,0,Cloudy,1/7/2019
17:52,38,21,51,SE,9,0,30.34,0,Cloudy,1/7/2019
18:52,37,22,54,SSE,8,0,30.33,0,Cloudy,1/7/2019
19:52,38,24,57,SSE,10,0,30.32,0,Cloudy,1/7/2019
20:52,38,27,65,SSE,10,0,30.29,0,Cloudy,1/7/2019
21:52,39,28,65,SSE,9,0,30.29,0,Cloudy,1/7/2019
22:52,39,30,70,SSE,8,0,30.23,0,Cloudy,1/7/2019
23:52,39,31,73,SSE,16,0,30.17,0,Light Rain,1/7/2019
0:52,39,33,79,CALM,0,0,30.23,0,Light Rain,1/8/2019
1:52,40,36,86,S,7,0,30.19,0,Light Rain,1/8/2019
2:43,41,37,86,S,10,0,30.15,0,Cloudy,1/8/2019
2:52,41,37,86,SSW,9,0,30.15,0,Cloudy,1/8/2019
3:15,41,37,86,SSW,7,0,30.15,0,Cloudy,1/8/2019
3:52,42,37,82,SSW,10,0,30.12,0,Cloudy,1/8/2019
4:23,42,37,82,SSW,9,0,30.11,0,Cloudy,1/8/2019
4:47,43,37,81,SSW,7,0,30.09,0,Cloudy,1/8/2019
4:52,42,37,82,S,6,0,30.09,0,Cloudy,1/8/2019
5:52,42,37,82,S,7,0,30.07,0,Mostly Cloudy,1/8/2019
6:52,42,36,79,SSW,8,0,30.05,0,Mostly Cloudy,1/8/2019
7:52,42,37,82,SSW,7,0,30.04,0,Mostly Cloudy,1/8/2019
8:52,43,38,82,SSW,8,0,30.04,0,Mostly Cloudy,1/8/2019
9:52,45,39,80,S,5,0,30.01,0,Mostly Cloudy,1/8/2019
10:52,46,39,76,VAR,5,0,29.98,0,Mostly Cloudy,1/8/2019
11:52,47,40,77,SSE,5,0,29.9,0,Cloudy,1/8/2019
12:52,50,42,74,S,3,0,29.85,0,Cloudy,1/8/2019
13:52,53,43,69,SSE,5,0,29.82,0,Cloudy,1/8/2019
14:28,56,44,64,SSE,8,0,29.79,0,Partly Cloudy,1/8/2019
14:52,55,44,67,S,9,0,29.78,0,Fair,1/8/2019
15:52,57,45,64,SSW,6,0,29.76,0,Fair,1/8/2019
16:52,56,44,64,SSW,6,0,29.74,0,Mostly Cloudy,1/8/2019
17:52,58,45,62,SSW,8,0,29.73,0,Cloudy,1/8/2019
18:52,53,44,71,S,7,0,29.7,0,Partly Cloudy,1/8/2019
19:52,53,45,74,S,13,0,29.64,0,Fair,1/8/2019
20:52,56,47,72,SSW,13,0,29.6,0,Mostly Cloudy,1/8/2019
21:30,57,47,69,NW,22,31,29.68,0,Light Rain / Windy,1/8/2019
21:35,55,47,74,NW,21,41,29.69,0,Light Rain / Windy,1/8/2019
21:39,53,47,80,NW,22,41,29.69,0,Heavy Rain / Windy,1/8/2019
21:46,54,46,77,WNW,14,30,29.68,0,Heavy Rain,1/8/2019
21:52,53,47,80,WNW,12,24,29.68,0,Rain,1/8/2019
22:35,54,47,77,WSW,7,0,29.66,0,Cloudy,1/8/2019
22:52,53,46,77,SSW,7,0,29.67,0,Cloudy,1/8/2019
23:52,54,40,59,WNW,16,0,29.68,0,Fair,1/8/2019
0:52,54,34,47,WNW,17,29,29.7,0,Fair,1/9/2019
1:52,50,34,54,WNW,8,17,29.75,0,Fair,1/9/2019
2:52,50,29,44,W,14,22,29.77,0,Fair,1/9/2019
3:52,49,26,41,WNW,12,18,29.77,0,Fair,1/9/2019
4:52,48,24,39,WNW,14,21,29.77,0,Mostly Cloudy,1/9/2019
5:52,46,23,40,W,12,25,29.78,0,Fair,1/9/2019
6:52,46,22,39,WNW,13,0,29.78,0,Mostly Cloudy,1/9/2019
7:52,46,23,40,WNW,12,0,29.77,0,Mostly Cloudy,1/9/2019
8:52,47,24,41,W,6,0,29.79,0,Mostly Cloudy,1/9/2019
9:52,48,25,41,W,10,0,29.79,0,Cloudy,1/9/2019
10:52,49,24,38,WNW,13,26,29.77,0,Mostly Cloudy,1/9/2019
11:52,47,26,44,NW,17,26,29.75,0,Cloudy,1/9/2019
12:52,47,27,46,W,22,30,29.74,0,Cloudy / Windy,1/9/2019
13:52,45,28,52,NNW,21,26,29.75,0,Wintry Mix / Windy,1/9/2019
14:32,45,26,48,WNW,22,37,29.76,0,Cloudy / Windy,1/9/2019
14:52,43,27,53,NNW,35,41,29.78,0,Light Rain / Windy,1/9/2019
15:52,42,26,53,WNW,17,31,29.81,0,Cloudy,1/9/2019
16:10,39,29,67,NNW,24,31,29.84,0,Wintry Mix / Windy,1/9/2019
16:52,39,24,55,NW,18,26,29.84,0,Cloudy,1/9/2019
17:52,39,19,45,WNW,17,29,29.86,0,Cloudy,1/9/2019
18:52,38,19,47,WNW,23,33,29.88,0,Cloudy / Windy,1/9/2019
19:52,36,21,55,WNW,20,26,29.88,0,Cloudy,1/9/2019
20:52,36,17,46,WNW,15,30,29.89,0,Cloudy,1/9/2019
21:52,35,16,46,WNW,17,30,29.9,0,Cloudy,1/9/2019
22:52,34,15,46,WNW,16,30,29.89,0,Cloudy,1/9/2019
23:52,34,16,48,NW,18,29,29.9,0,Light Snow,1/9/2019
0:52,33,15,48,W,17,23,29.9,0,Mostly Cloudy,1/10/2019
1:52,33,11,40,WNW,24,32,29.91,0,Mostly Cloudy / Windy,1/10/2019
2:52,32,12,44,WNW,13,28,29.91,0,Mostly Cloudy,1/10/2019
3:52,32,12,44,WNW,20,32,29.91,0,Cloudy,1/10/2019
4:52,32,12,44,WNW,17,29,29.9,0,Mostly Cloudy,1/10/2019
5:52,31,13,47,WNW,16,32,29.91,0,Mostly Cloudy,1/10/2019
6:52,31,13,47,NW,15,28,29.93,0,Partly Cloudy,1/10/2019
7:52,32,13,45,NW,18,29,29.95,0,Fair,1/10/2019
8:52,33,14,46,WNW,21,32,29.97,0,Fair / Windy,1/10/2019
9:52,35,14,42,NW,17,32,29.98,0,Fair,1/10/2019
10:52,36,14,41,NW,18,36,29.99,0,Fair,1/10/2019
11:52,37,13,37,NW,24,39,29.98,0,Fair / Windy,1/10/2019
12:52,37,14,39,WNW,21,35,29.98,0,Fair / Windy,1/10/2019
13:52,37,14,39,WNW,24,33,29.99,0,Fair / Windy,1/10/2019
14:52,37,13,37,NW,24,32,30.02,0,Fair / Windy,1/10/2019
15:52,37,13,37,NW,22,30,30.04,0,Fair / Windy,1/10/2019
16:52,35,13,40,WNW,18,23,30.07,0,Fair,1/10/2019
17:52,34,13,42,WNW,13,24,30.1,0,Fair,1/10/2019
18:52,33,13,43,NW,16,31,30.1,0,Fair,1/10/2019
19:52,32,13,45,NW,22,28,30.12,0,Fair / Windy,1/10/2019
20:52,31,13,47,WNW,14,24,30.13,0,Fair,1/10/2019
21:52,31,13,47,WNW,10,0,30.15,0,Fair,1/10/2019
22:52,30,13,49,WNW,9,0,30.17,0,Fair,1/10/2019
23:52,30,13,49,NW,10,0,30.17,0,Fair,1/10/2019
0:52,30,13,49,NNW,15,21,30.18,0,Fair,1/11/2019
1:52,30,12,47,NNW,22,25,30.19,0,Fair / Windy,1/11/2019
2:52,29,12,49,NW,21,32,30.2,0,Fair / Windy,1/11/2019
3:52,29,12,49,NW,20,30,30.21,0,Fair,1/11/2019
4:52,29,13,51,NW,20,25,30.23,0,Fair,1/11/2019
5:52,29,12,49,NW,17,25,30.25,0,Fair,1/11/2019
6:52,29,12,49,NW,20,0,30.27,0,Fair,1/11/2019
7:52,29,12,49,NNW,12,21,30.3,0,Fair,1/11/2019
8:52,31,13,47,NW,15,28,30.33,0,Fair,1/11/2019
9:52,33,13,43,NW,16,23,30.36,0,Fair,1/11/2019
10:52,35,13,40,NW,15,24,30.37,0,Partly Cloudy,1/11/2019
11:52,36,14,41,NW,13,23,30.35,0,Fair,1/11/2019
12:52,37,13,37,WNW,17,0,30.32,0,Partly Cloudy,1/11/2019
13:52,39,13,34,NNW,15,21,30.33,0,Partly Cloudy,1/11/2019
14:52,39,13,34,NW,15,22,30.32,0,Partly Cloudy,1/11/2019
15:52,38,12,35,NW,12,0,30.34,0,Partly Cloudy,1/11/2019
16:52,37,12,36,WNW,13,0,30.36,0,Partly Cloudy,1/11/2019
17:52,36,12,37,NW,12,0,30.38,0,Partly Cloudy,1/11/2019
18:52,35,12,39,NW,9,0,30.4,0,Partly Cloudy,1/11/2019
19:52,34,13,42,NNW,8,0,30.41,0,Partly Cloudy,1/11/2019
20:52,33,13,43,NNW,8,0,30.44,0,Partly Cloudy,1/11/2019
21:52,32,14,48,NNW,7,0,30.45,0,Partly Cloudy,1/11/2019
22:52,32,13,45,NNW,7,0,30.45,0,Cloudy,1/11/2019
23:52,30,14,51,N,5,0,30.44,0,Cloudy,1/11/2019
0:52,30,15,54,NNW,6,0,30.46,0,Cloudy,1/12/2019
1:52,31,15,52,NNW,5,0,30.47,0,Cloudy,1/12/2019
2:52,31,15,52,N,3,0,30.48,0,Cloudy,1/12/2019
3:52,31,14,50,NNE,6,0,30.47,0,Cloudy,1/12/2019
4:52,31,14,50,NNE,3,0,30.48,0,Cloudy,1/12/2019
5:52,31,15,52,NE,5,0,30.49,0,Cloudy,1/12/2019
6:52,31,16,54,ENE,3,0,30.51,0,Cloudy,1/12/2019
7:52,31,16,54,CALM,0,0,30.52,0,Cloudy,1/12/2019
8:52,33,16,50,SE,6,0,30.53,0,Cloudy,1/12/2019
9:52,35,16,46,S,5,0,30.56,0,Cloudy,1/12/2019
10:52,36,13,39,S,6,0,30.55,0,Cloudy,1/12/2019
11:52,36,14,41,S,7,0,30.52,0,Cloudy,1/12/2019
12:52,37,13,37,SSW,6,0,30.5,0,Cloudy,1/12/2019
13:52,36,15,43,S,6,0,30.49,0,Cloudy,1/12/2019
14:15,36,16,44,S,8,0,30.5,0,Light Snow,1/12/2019
14:52,35,19,52,SSE,5,0,30.49,0,Light Snow,1/12/2019
15:52,34,20,56,SE,6,0,30.49,0,Light Snow,1/12/2019
16:52,33,23,66,CALM,0,0,30.48,0,Light Snow,1/12/2019
17:52,32,25,75,ENE,8,0,30.49,0,Light Snow,1/12/2019
18:06,32,25,75,ENE,8,0,30.49,0,Light Snow,1/12/2019
18:14,32,26,79,E,7,0,30.49,0,Light Snow,1/12/2019
18:52,31,27,85,ESE,6,0,30.49,0,Light Snow,1/12/2019
19:12,31,26,82,E,5,0,30.49,0,Light Snow,1/12/2019
19:30,30,26,85,ESE,5,0,30.5,0,Light Snow,1/12/2019
19:52,30,26,85,SE,5,0,30.5,0,Light Snow,1/12/2019
19:58,30,26,85,SE,6,0,30.5,0,Light Snow,1/12/2019
20:01,30,26,85,SE,5,0,30.5,0,Light Snow,1/12/2019
20:21,30,26,85,E,5,0,30.49,0,Light Snow,1/12/2019
20:30,30,26,85,ESE,5,0,30.49,0,Light Snow,1/12/2019
20:52,30,26,85,ESE,6,0,30.49,0,Light Snow,1/12/2019
21:18,30,26,85,SE,8,0,30.48,0,Light Snow,1/12/2019
21:40,30,27,88,SSE,5,0,30.48,0,Light Snow,1/12/2019
21:45,30,27,88,SE,5,0,30.48,0,Light Snow,1/12/2019
21:52,30,27,88,SE,5,0,30.48,0,Light Snow,1/12/2019
21:56,30,27,88,SSE,3,0,30.48,0,Light Snow,1/12/2019
22:08,30,27,88,SSE,5,0,30.47,0,Light Snow,1/12/2019
22:19,30,27,88,SSE,3,0,30.47,0,Light Snow,1/12/2019
22:32,30,27,88,CALM,0,0,30.48,0,Light Snow,1/12/2019
22:50,30,27,86,ESE,3,0,30.47,0,Light Snow,1/12/2019
22:52,30,26,85,ESE,3,0,30.47,0,Light Snow,1/12/2019
23:04,30,26,85,ENE,3,0,30.46,0,Light Snow,1/12/2019
23:08,31,26,82,ENE,5,0,30.46,0,Light Snow,1/12/2019
